"Age","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
16,0.000339761888184964,0.000268386601010806,0.000212153018155803,0.000240418327890568,0.000173839195893977,0.000214436432463994,0.000228920259442988,0.000189008003307678,0.000215164555427583,0.000238513410958596,0.000213143213705469,0.000196964949191969,0.000152853603739955,0.00018201571023102,0.000255215797577368,0.000249666884672872
17,0.000470063188379166,0.00045593965016999,0.00036058498624747,0.000316952842929208,0.000324906660586488,0.000281170122124363,0.000278301565304284,0.00029100221161682,0.000283464106722753,0.000324569944823105,0.000337297085139965,0.000253067297607101,0.000245195063012127,0.000328071822053855,0.000281677571214223,0.000302556880693583
18,0.00054521122804696,0.000550027100849837,0.000496079067371369,0.00038241128195815,0.000494013160947326,0.000385880709344533,0.00042327745697146,0.000396418830452827,0.000370935756780266,0.000370879357832421,0.000449107546484084,0.000351394616153966,0.000328749764645031,0.000444335444407584,0.00039745627980925,0.000454080432415904
19,0.00059145472872224,0.000595866850843674,0.000410160485086575,0.000424100653221737,0.000429539339319884,0.000452819673273153,0.000440465572109749,0.000463346292407185,0.000404854999415782,0.000402287451145789,0.000454583719168289,0.000423629903083866,0.000395682406680087,0.000519332138869455,0.000476841136610839,0.000511200428434666
20,0.000731983841319117,0.000580837346181862,0.00052467287441238,0.000492832227652729,0.000454391443782898,0.000425813903356165,0.000437133143908919,0.000450467461143855,0.000486535597739923,0.000449900379201784,0.000500592734804073,0.000557364383864001,0.000519768234492179,0.000480315635989381,0.000444566226387666,0.000445618268175241
21,0.000626039874792039,0.000660717467889427,0.000616811756593671,0.00050525230392473,0.000438077825918537,0.000441427733086863,0.000472800819521391,0.000469697991976159,0.00049071748200924,0.000445603071726031,0.000528095195129863,0.000533465429534918,0.000391447694869318,0.000555292472827262,0.000530837465949618,0.000398988863838268
22,0.00067053295053654,0.000585188540432879,0.000561912954090915,0.000543119227726208,0.000469611274776516,0.00040813138807505,0.000465204741490144,0.000496027881441541,0.000500661129440139,0.000457103601342213,0.000503756853358794,0.000507341924675608,0.000426093410671569,0.000513705215618887,0.000499426482775234,0.000492182501271476
23,0.000698930424653188,0.00062495754364511,0.000648203355341215,0.000465409715686427,0.000551196251865504,0.000514984257288131,0.000559447545548819,0.00052932297312358,0.000535977145319055,0.000442626180443106,0.00051606244355562,0.000483989777710359,0.000498323819878577,0.000539028981700329,0.000571906673303646,0.000543462334597011
24,0.000692606293589915,0.000609999789655258,0.00059811764209905,0.000482229445302962,0.00050416593361291,0.000534155705072425,0.000536624631070515,0.000559324980411002,0.000562835462727507,0.000483008542724095,0.000560486971936558,0.000555985302649442,0.00050149221188045,0.000525995164064819,0.000477651957977221,0.000535635191232009
25,0.000633882071075398,0.000666535867961393,0.000582313848885629,0.000580566570769547,0.000528735136068326,0.000600438558206795,0.000482146026666408,0.000660717617063655,0.000614219433699881,0.000574005316013149,0.000557723009906863,0.000587753122603174,0.000580169062349145,0.000542472310741227,0.000547757439506524,0.00048760332699449
