"Age","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
16,0.000169880944092426,0.000134193300505459,0.000106076509077901,0.000120209163945284,8.69195979469328e-05,0.000107218216231941,0.000114460129721494,9.45040016537835e-05,0.000107582277713791,0.000119256705479298,0.000106571606852679,9.84824745959845e-05,7.64268018700331e-05,9.10078551155102e-05,0.00012760789878874,0.000124833442336492
17,0.000235031594189583,0.000227969825084995,0.000180292493123679,0.000158476421464604,0.0001624533302933,0.000140585061062182,0.000139150782652142,0.000145501105808354,0.000141732053361432,0.000162284972411553,0.000168648542569927,0.000126533648803551,0.000122597531506119,0.000164035911026872,0.000140838785607111,0.000151278440346791
18,0.000272605614023536,0.000275013550424918,0.000248039533685684,0.000191205640979075,0.000247006580473608,0.000192940354672211,0.00021163872848573,0.000198209415226414,0.000185467878390133,0.000185439678916266,0.000224553773242042,0.000175697308076983,0.000164374882322571,0.000222167722203737,0.000198728139904625,0.000227040216207897
19,0.00029572736436112,0.000297933425421837,0.000205080242543287,0.000212050326610869,0.000214769669659942,0.000226409836636576,0.000220232786054875,0.000231673146203537,0.000202427499707891,0.000201143725572894,0.000227291859584144,0.000211814951541878,0.000197841203339988,0.000259666069434727,0.000238420568305364,0.000255600214217333
20,0.000365991920659559,0.000290418673090875,0.00026233643720619,0.000246416113826364,0.000227195721891449,0.000212906951678082,0.000218566571954515,0.000225233730571928,0.000243267798869962,0.000224950189600892,0.000250296367402036,0.000278682191932056,0.00025988411724609,0.000240157817994691,0.000222283113193833,0.000222809134087676
21,0.000313019937395964,0.000330358733944713,0.000308405878296836,0.00025262615196231,0.000219038912959268,0.000220713866543432,0.000236400409760695,0.000234848995988135,0.00024535874100462,0.000222801535863071,0.000264047597564931,0.000266732714767515,0.000195723847434603,0.000277646236413687,0.000265418732974809,0.000199494431919134
22,0.00033526647526827,0.00029259427021644,0.000280956477045402,0.000271559613863159,0.000234805637388202,0.000204065694037525,0.000232602370745072,0.000248013940720826,0.000250330564720125,0.000228551800671162,0.000251878426679397,0.000253670962337749,0.00021304670533584,0.000256852607809388,0.000249713241387672,0.000246091250635683
23,0.000349465212326594,0.000312478771822611,0.000324101677670607,0.000232704857843213,0.000275598125932697,0.000257492128644121,0.00027972377277441,0.00026466148656179,0.000267988572659528,0.000221313090221553,0.00025803122177781,0.000241994888855235,0.000249161909939288,0.00026951449085022,0.000285953336651823,0.000271731167298506
24,0.000346303146794957,0.000304999894827573,0.000299058821049525,0.000241114722651425,0.000252082966806455,0.000267077852536213,0.000268312315535257,0.000279662490205501,0.000281417731363698,0.000241504271362047,0.000280243485968223,0.000277992651324666,0.000250746105940225,0.000262997582032409,0.00023882597898861,0.000267817595616004
25,0.000316941035537699,0.000333267933980697,0.000291156924442815,0.000290283285384718,0.000264367568034163,0.000300219279103398,0.000241073013333204,0.000330358808531828,0.000307109716849885,0.00028700265800663,0.000278861504953376,0.000293876561301643,0.000290084531174628,0.000271236155370613,0.000273878719753262,0.000243801663497245
26,0.000388557193723549,0.00037127286276839,0.000295148348771868,0.000275245405716884,0.000279513489791272,0.000305093715069482,0.000352357097422096,0.000270226805971885,0.000322841417712882,0.000269807291414792,0.000300142567719708,0.000302807514915626,0.000308881532052441,0.000321386020918357,0.000332480143547031,0.000297627305035242
27,0.000364420939074628,0.000339300717378643,0.00031492338193162,0.000280573265187822,0.000267069894900884,0.000314585269577394,0.000324439403567744,0.000300162348679023,0.000305012369946067,0.000295603983199388,0.000307928590979611,0.000327469699421323,0.000306664490621111,0.000317838177204544,0.000292818878451451,0.0002953511725442
28,0.000393881960206177,0.000395196917987506,0.000317829292424188,0.000337224044858586,0.000307524991355002,0.000275718478549347,0.000312981322417527,0.000323209630587296,0.000336046598461648,0.000329641350210963,0.000344320120792552,0.000344129452959807,0.000305967123832573,0.000333516593753358,0.000327001928800419,0.000334105261010187
29,0.000390130115869969,0.000376975571466542,0.000372704566925064,0.000334188821906056,0.000323190981008969,0.000333429100848437,0.00033855095063573,0.000305148119154497,0.000348891908843796,0.000325370475755427,0.000366204685371296,0.000363389515707802,0.000305756966890836,0.000379807850035219,0.000360053012060546,0.000368881875270399
30,0.000418011825829345,0.000435631142399084,0.000400455308672498,0.000354348565597018,0.00035782567360032,0.000331817944296375,0.000392503833147817,0.000315854360573242,0.000376458937900837,0.000329262064084235,0.000375449401556427,0.000395854780736893,0.000352069441625358,0.000359700629848247,0.000391970071348502,0.000372015421730265
31,0.000449968487548968,0.000390667483300078,0.000407687516207234,0.000373806890336281,0.000368419967846978,0.000388274627425744,0.000359165486799373,0.000336568566061346,0.000386640924299297,0.00036222766199201,0.00043816141815245,0.000394606380135776,0.000374712678365752,0.000420021870961351,0.000435075918303496,0.000445828217271793
32,0.00043299415457887,0.000453767868015875,0.000450235408799404,0.000369306633437927,0.000349636019938204,0.0004029226697424,0.000362780537279228,0.000464159857692215,0.000446649995195947,0.000385077672060308,0.000368947548590737,0.000406833787354732,0.000416537146409657,0.000466546256873146,0.000433483067144413,0.000425206942075484
33,0.000534462963696081,0.000462006739863075,0.00043310987374634,0.000405641981810145,0.000417067352392664,0.000404026972636085,0.000400808811627518,0.000424922205553568,0.000435102578337787,0.000416821405662016,0.000462780820950526,0.000447672859896109,0.000435257374558073,0.000505285684562984,0.000454326000569494,0.000465241380313008
34,0.000586252381650332,0.000517691293246192,0.000506178523731804,0.000465847467405078,0.000399442770227965,0.000441113354210043,0.000454810673909622,0.000466841465754264,0.000455083397577827,0.000445348624066422,0.000469611467860176,0.000433111909066697,0.000492647021575143,0.000471557000086165,0.000484769642374983,0.00051555459991981
35,0.000656452825394171,0.000618284626705434,0.000480614289517511,0.000479380913791294,0.00046500110851655,0.000473396263854675,0.00049242354233392,0.000471809389006816,0.00048393217817877,0.000484838481733418,0.000514963629887011,0.000492932898860543,0.000520670097360232,0.000574827868873307,0.000501340677953377,0.000561259743250941
36,0.000593369476465599,0.000594306831748992,0.000530257837873638,0.0005581980973699,0.000465081880011708,0.000509741080249038,0.000478883903850313,0.000545614703987618,0.000540648424414036,0.000572121743429466,0.000528977653919571,0.000494901097310763,0.000553998566121372,0.00061332554507243,0.000557635324120787,0.000617397439974576
37,0.00061305889304708,0.000649118492016654,0.000602747258557468,0.000627255708026908,0.000550998772458455,0.00060126833584806,0.000517199386810718,0.000539501967844025,0.000518034145663315,0.000593272867569827,0.000628002797931182,0.000617912747617577,0.000664909159383442,0.000645982981689719,0.000602166283737771,0.000667423744346807
